fpr,tpr
0.34315778025503685,0.5200851667849539
0.34750808885505313,0.524485450674237
0.3507708203050654,0.5291696238466997
0.3545501509013296,0.5342796309439318
0.3592539220750972,0.5398154719659333
0.36316919981511186,0.5454932576295245
0.367193235270127,0.5510290986515259
0.3720873324451453,0.5558552164655784
0.3783137116289187,0.5608232789212207
0.3830174828026863,0.5662171753016324
0.38744935968895294,0.5718949609652235
0.3911743114277169,0.5765791341376864
0.3953342940264825,0.5819730305180979
0.3989504880502461,0.5863733144073812
0.4041164795127654,0.5906316536550745
0.4079229995377797,0.5951738821859475
0.4146387884390549,0.6004258339247693
0.4204573261915767,0.6052519517388218
0.42537861279534517,0.6099361249112846
0.43070774083036517,0.6149041873669269
0.43639033143913647,0.6198722498225692
0.44152913347290573,0.6256919801277502
0.44759237608417846,0.630943931866572
0.4510454335354414,0.6353442157558552
0.4568911607167133,0.6404542228530873
0.4618940156067321,0.64513839602555
0.4674406590717529,0.6499645138396025
0.4732591968242747,0.6545067423704756
0.4779085891405422,0.6590489709013485
0.48215014002555806,0.663875088715401
0.4877511623480791,0.6687012065294535
0.49329780581309984,0.6731014904187367
0.49832785013186875,0.6783534421575586
0.5039016830256396,0.6826117814052519
0.5097745996356616,0.687154009936125
0.5152668642431822,0.6924059616749467
0.5196987411294489,0.6970901348474096
0.5253541423094701,0.7014904187366927
0.5303026183419887,0.7060326472675656
0.5382419315370184,0.710290986515259
0.5436254384295386,0.7152590489709013
0.5495527338970608,0.7202271114265436
0.5550449985045814,0.7246273953158269
0.5602925582533511,0.7291696238466998
0.5657848228608717,0.7337118523775727
0.571467413469643,0.7388218594748048
0.5769596780771636,0.7437899219304471
0.5834035726909378,0.7483321504613201
0.587998586149705,0.7524485450674238
0.5935452296147258,0.7565649396735273
0.598384947932244,0.7611071682044003
0.6032518556785122,0.765791341376863
0.6076021642785285,0.7703335699077359
0.6155958563310585,0.774875798438609
0.6204355746485767,0.7792760823278921
0.6255471872535958,0.7836763662171753
0.6306859892873651,0.7882185947480482
0.6372386416161396,0.7936124911284599
0.6442807036624161,0.798012775017743
0.6523559640011963,0.8026969481902059
0.6608390657712282,0.8078069552874378
0.6679355066750048,0.8120652945351313
0.672530520133772,0.8171753016323634
0.6803882650425515,0.8220014194464159
0.6875662742325783,0.8264017033356991
0.6952880719976073,0.8308019872249822
0.7049946980613937,0.8350603264726757
0.7109763723864162,0.840028388928318
0.7160336061339351,0.8448545067423705
0.7229669104652111,0.8495386799148332
0.7289213953614835,0.8539389638041164
0.7382201799940183,0.8586231369765791
0.7440930966040403,0.8640170333569908
0.7510264009353164,0.8691270404542228
0.7604067538541015,0.8733853797019162
0.7681829304766307,0.8779276082327893
0.7739470893716524,0.882611781405252
0.7809347725604285,0.8871540099361249
0.7872427200304521,0.8918381831085876
0.7930340683542239,0.8962384669978708
0.8001033198292504,0.9004968062455643
0.8092389678892846,0.9050390347764372
0.817341417656815,0.9091554293825408
0.8270208542918513,0.9141234918381831
0.8369178063568884,0.9185237757274662
0.8445580358356671,0.9237757274662881
0.8544277984719542,0.9281760113555714
0.8631284156719867,0.9327182398864443
0.8713124337257674,0.937402413058907
0.8774844340520406,0.94194464158978
0.8860762935370727,0.9462029808374733
0.8962995187471111,0.9507452093683464
0.9045107262296419,0.9552874378992193
0.9137007531471764,0.9596877217885025
0.9216128769134561,0.9639460610361958
0.9300959786834878,0.9684882895670689
0.9423856004785339,0.9731724627395316
0.9536692134098262,0.9778566359119943
0.9631039451861116,0.9821149751596877
0.972810571249898,0.9866572036905606
0.9805595584436771,0.9907735982966643
0.9892601756437097,0.9954577714691271
1.0,1.0
